DriverAge1,LicenceType,DeclineReason,Acceptable,ProvisFlag
59,F,,1,0
48,F,,1,0
86,F,,1,0
77,F,,1,0
60,F,,1,0
55,F,,1,0
69,F,,1,0
59,F,,1,0
72,F,,1,0
26,F,,1,0
21,F,,1,0
34,F,,1,0
80,F,,1,0
47,F,,1,0
71,F,,1,0
21,F,,1,0
17,F,,1,0
70,F,,1,0
20,F,,1,0
73,F,,1,0
27,F,,1,0
74,F,,1,0
33,F,,1,0
45,F,,1,0
45,F,,1,0
36,F,,1,0
52,F,,1,0
57,F,,1,0
79,F,,1,0
32,F,,1,0
26,F,,1,0
51,F,,1,0
89,F,,1,0
34,F,,1,0
40,F,,1,0
40,F,,1,0
36,F,,1,0
59,F,,1,0
42,F,,1,0
67,F,,1,0
20,F,,1,0
17,F,,1,0
90,F,,1,0
18,F,,1,0
40,F,,1,0
30,F,,1,0
61,F,,1,0
25,F,,1,0
53,F,,1,0
21,F,,1,0
43,F,,1,0
85,F,,1,0
76,F,,1,0
46,F,,1,0
35,F,,1,0
43,F,,1,0
89,F,,1,0
24,F,,1,0
50,F,,1,0
47,F,,1,0
45,F,,1,0
35,F,,1,0
27,F,,1,0
89,F,,1,0
84,F,,1,0
25,F,,1,0
58,F,,1,0
65,F,,1,0
52,F,,1,0
20,F,,1,0
69,F,,1,0
36,F,,1,0
88,F,,1,0
60,F,,1,0
65,F,,1,0
83,F,,1,0
77,F,,1,0
45,F,,1,0
17,F,,1,0
42,F,,1,0
19,F,,1,0
54,F,,1,0
20,F,,1,0
30,F,,1,0
57,F,,1,0
89,F,,1,0
47,F,,1,0
67,F,,1,0
51,F,,1,0
46,F,,1,0
44,F,,1,0
66,F,,1,0
20,F,,1,0
58,F,,1,0
36,F,,1,0
82,F,,1,0
76,F,,1,0
22,F,,1,0
44,F,,1,0
64,F,,1,0
33,F,,1,0
37,F,,1,0
90,F,,1,0
46,F,,1,0
56,F,,1,0
18,F,,1,0
47,F,,1,0
19,F,,1,0
26,F,,1,0
86,F,,1,0
49,F,,1,0
50,F,,1,0
50,F,,1,0
59,F,,1,0
70,F,,1,0
59,F,,1,0
51,F,,1,0
83,F,,1,0
41,F,,1,0
86,F,,1,0
35,F,,1,0
33,F,,1,0
60,F,,1,0
73,F,,1,0
29,F,,1,0
34,F,,1,0
30,F,,1,0
34,F,,1,0
69,F,,1,0
59,F,,1,0
63,F,,1,0
51,F,,1,0
62,F,,1,0
40,F,,1,0
79,F,,1,0
38,F,,1,0
38,F,,1,0
26,F,,1,0
19,F,,1,0
75,F,,1,0
76,F,,1,0
24,F,,1,0
26,F,,1,0
34,F,,1,0
20,F,,1,0
78,F,,1,0
34,F,,1,0
53,F,,1,0
49,F,,1,0
70,F,,1,0
78,F,,1,0
41,F,,1,0
70,F,,1,0
36,F,,1,0
30,F,,1,0
25,F,,1,0
82,F,,1,0
26,F,,1,0
36,F,,1,0
19,F,,1,0
81,F,,1,0
53,F,,1,0
22,F,,1,0
17,F,,1,0
79,F,,1,0
19,F,,1,0
50,F,,1,0
88,F,,1,0
43,F,,1,0
80,F,,1,0
49,F,,1,0
55,F,,1,0
54,F,,1,0
45,F,,1,0
17,F,,1,0
39,F,,1,0
20,F,,1,0
46,F,,1,0
81,F,,1,0
18,F,,1,0
85,F,,1,0
74,F,,1,0
51,F,,1,0
50,F,,1,0
78,F,,1,0
51,F,,1,0
26,F,,1,0
79,F,,1,0
79,F,,1,0
64,F,,1,0
74,F,,1,0
84,F,,1,0
61,F,,1,0
77,F,,1,0
73,F,,1,0
51,F,,1,0
63,F,,1,0
18,F,,1,0
45,F,,1,0
17,F,,1,0
80,F,,1,0
25,F,,1,0
18,F,,1,0
38,F,,1,0
37,F,,1,0
17,F,,1,0
25,F,,1,0
55,F,,1,0
33,F,,1,0
69,F,,1,0
26,F,,1,0
65,F,,1,0
51,F,,1,0
51,F,,1,0
68,F,,1,0
33,F,,1,0
78,F,,1,0
24,F,,1,0
47,F,,1,0
28,F,,1,0
56,F,,1,0
66,F,,1,0
72,F,,1,0
37,F,,1,0
83,F,,1,0
49,F,,1,0
33,F,,1,0
78,F,,1,0
60,F,,1,0
86,F,,1,0
44,F,,1,0
31,F,,1,0
44,F,,1,0
24,F,,1,0
30,F,,1,0
40,F,,1,0
46,F,,1,0
50,F,,1,0
48,F,,1,0
39,F,,1,0
82,F,,1,0
55,F,,1,0
46,F,,1,0
69,F,,1,0
81,F,,1,0
51,F,,1,0
43,F,,1,0
52,F,,1,0
75,F,,1,0
17,F,,1,0
65,F,,1,0
21,F,,1,0
64,F,,1,0
59,F,,1,0
20,F,,1,0
20,F,,1,0
49,F,,1,0
88,F,,1,0
83,F,,1,0
88,F,,1,0
56,F,,1,0
21,F,,1,0
76,F,,1,0
68,F,,1,0
87,F,,1,0
59,F,,1,0
23,F,,1,0
65,F,,1,0
64,F,,1,0
38,F,,1,0
62,F,,1,0
53,F,,1,0
37,F,,1,0
29,F,,1,0
64,F,,1,0
43,F,,1,0
56,F,,1,0
54,F,,1,0
22,F,,1,0
48,F,,1,0
34,F,,1,0
60,F,,1,0
35,F,,1,0
70,F,,1,0
73,F,,1,0
90,F,,1,0
63,F,,1,0
82,F,,1,0
83,F,,1,0
41,F,,1,0
60,F,,1,0
76,F,,1,0
44,F,,1,0
29,F,,1,0
34,F,,1,0
44,F,,1,0
85,F,,1,0
77,F,,1,0
52,F,,1,0
65,F,,1,0
52,F,,1,0
48,F,,1,0
79,F,,1,0
88,F,,1,0
64,F,,1,0
30,F,,1,0
90,F,,1,0
20,F,,1,0
89,F,,1,0
39,F,,1,0
67,F,,1,0
67,F,,1,0
63,F,,1,0
78,F,,1,0
25,F,,1,0
76,F,,1,0
28,F,,1,0
65,F,,1,0
86,F,,1,0
34,F,,1,0
39,F,,1,0
81,F,,1,0
70,F,,1,0
55,F,,1,0
70,F,,1,0
69,F,,1,0
61,F,,1,0
18,F,,1,0
65,F,,1,0
57,F,,1,0
55,F,,1,0
66,F,,1,0
31,F,,1,0
68,F,,1,0
86,F,,1,0
34,F,,1,0
76,F,,1,0
37,F,,1,0
78,F,,1,0
90,F,,1,0
52,F,,1,0
47,F,,1,0
36,F,,1,0
88,F,,1,0
34,F,,1,0
38,F,,1,0
22,F,,1,0
45,F,,1,0
23,F,,1,0
52,F,,1,0
35,F,,1,0
73,F,,1,0
82,F,,1,0
22,F,,1,0
27,F,,1,0
52,F,,1,0
32,F,,1,0
42,F,,1,0
37,F,,1,0
65,F,,1,0
89,F,,1,0
53,F,,1,0
88,F,,1,0
62,F,,1,0
31,F,,1,0
33,F,,1,0
36,F,,1,0
28,F,,1,0
21,F,,1,0
90,F,,1,0
60,F,,1,0
27,F,,1,0
53,F,,1,0
50,F,,1,0
18,F,,1,0
77,F,,1,0
82,F,,1,0
34,F,,1,0
57,F,,1,0
25,F,,1,0
90,F,,1,0
30,F,,1,0
35,F,,1,0
67,F,,1,0
53,F,,1,0
42,F,,1,0
47,F,,1,0
87,F,,1,0
54,F,,1,0
64,F,,1,0
60,F,,1,0
71,F,,1,0
44,F,,1,0
52,F,,1,0
66,F,,1,0
69,F,,1,0
86,F,,1,0
77,F,,1,0
71,F,,1,0
35,F,,1,0
35,F,,1,0
66,F,,1,0
56,F,,1,0
50,F,,1,0
85,F,,1,0
57,F,,1,0
79,F,,1,0
85,F,,1,0
85,F,,1,0
55,F,,1,0
76,F,,1,0
82,F,,1,0
87,F,,1,0
35,F,,1,0
63,F,,1,0
76,F,,1,0
45,F,,1,0
38,F,,1,0
24,F,,1,0
51,F,,1,0
58,F,,1,0
61,F,,1,0
39,F,,1,0
84,F,,1,0
29,F,,1,0
50,F,,1,0
71,F,,1,0
83,F,,1,0
87,F,,1,0
25,F,,1,0
52,F,,1,0
46,F,,1,0
36,F,,1,0
41,F,,1,0
72,F,,1,0
27,F,,1,0
88,F,,1,0
29,F,,1,0
34,F,,1,0
37,F,,1,0
77,F,,1,0
28,F,,1,0
40,F,,1,0
52,F,,1,0
71,F,,1,0
63,F,,1,0
78,F,,1,0
39,F,,1,0
27,F,,1,0
30,F,,1,0
29,F,,1,0
89,F,,1,0
54,F,,1,0
90,F,,1,0
44,F,,1,0
57,F,,1,0
83,F,,1,0
78,F,,1,0
25,F,,1,0
44,F,,1,0
74,F,,1,0
35,F,,1,0
26,F,,1,0
34,F,,1,0
88,F,,1,0
68,F,,1,0
88,F,,1,0
67,F,,1,0
66,F,,1,0
65,F,,1,0
31,F,,1,0
34,F,,1,0
59,F,,1,0
40,F,,1,0
78,F,,1,0
78,F,,1,0
74,F,,1,0
60,F,,1,0
73,F,,1,0
45,F,,1,0
76,F,,1,0
54,F,,1,0
49,F,,1,0
26,F,,1,0
17,F,,1,0
74,F,,1,0
68,F,,1,0
18,F,,1,0
57,F,,1,0
30,F,,1,0
80,F,,1,0
77,F,,1,0
79,F,,1,0
59,F,,1,0
63,F,,1,0
48,F,,1,0
46,F,,1,0
69,F,,1,0
40,F,,1,0
44,F,,1,0
80,F,,1,0
64,F,,1,0
76,F,,1,0
32,F,,1,0
49,F,,1,0
17,F,,1,0
84,F,,1,0
87,F,,1,0
89,F,,1,0
28,F,,1,0
